# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/features.saf" "-F" "SAF" "-T" "8" "-o" "data/counts.txt" "bam/wildtype-01.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/wildtype-01.bam
YBR078W	II;II	393123;393511	393180;394742	+;+	1290	1097
YBR079C	II	395383	398277	-	2895	320
YBR080C	II	398614	400890	-	2277	129
YBR081C	II	401253	405251	-	3999	58
YBR082C	II;II	406628;407123	407027;407169	-;-	447	417
YBR083W	II	409169	410629	+	1461	55
YBR084W	II	411054	413981	+	2928	184
YBR084C-A	II;II	414186;415260	414753;415261	-;-	570	884
YBR085W	II	415983	416906	+	924	27
YBR086C	II	420201	423041	-	2841	286
YBR087W	II	423765	424829	+	1065	30
YBR088C	II	424990	425766	-	777	44
YBR089C-A	II	426190	426489	-	300	105
YBR091C	II	427155	427484	-	330	12
YBR092C	II	427698	429101	-	1404	188
YBR093C	II	429548	430951	-	1404	171
YBR094W	II	432036	434297	+	2262	44
YBR095C	II	434406	435698	-	1293	33
YBR097W	II	436951	441315	+	4365	33
YBR098W	II	441515	443590	+	2076	20
YBR101C	II	443821	444693	-	873	56
YBR102C	II	445062	447323	-	2262	41
YBR103W	II	447709	449316	+	1608	60
YBR104W	II	449667	450656	+	990	50
YBR105C	II	450881	451969	-	1089	80
YBR106W	II	452658	453224	+	567	727
YBR107C	II	453793	454530	-	738	20
YBR108W	II	454822	457665	+	2844	120
YBR109C	II	457919	458362	-	444	243
YBR110W	II	458872	460221	+	1350	71
YBR111C	II	461178	461873	-	696	140
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	13
YBR112C	II	462870	465770	-	2901	231
YBR114W	II	467248	469620	+	2373	56
YBR115C	II	469748	473926	-	4179	180
YBR117C	II	474392	476437	-	2046	19
YBR118W	II	477671	479047	+	1377	2007
YBR119W	II;II	479338;479435	479345;480323	+;+	897	21
YBR120C	II	480435	480923	-	489	13
YBR121C	II	481364	483367	-	2004	535
YBR122C	II	483970	484503	-	534	52
YBR123C	II	484742	486691	-	1950	36
YBR125C	II	487199	488380	-	1182	56
YBR126C	II	488905	490392	-	1488	1219
YBR126W-A	II	490850	491056	+	207	332
YBR127C	II	491269	492822	-	1554	558
YBR128C	II	493081	494115	-	1035	14
YBR129C	II	494353	495339	-	987	29
YBR130C	II	495592	496869	-	1278	44
YBR131W	II	497163	499277	+	2115	8
YBR132C	II	499652	501442	-	1791	54
YBR133C	II	501804	504287	-	2484	62
YBR135W	II	504854	505306	+	453	58
YBR136W	II	505668	512774	+	7107	36
YBR138C	II	513762	515336	-	1575	23
YBR140C	II	517350	526628	-	9279	112
YBR141C	II	527025	528038	-	1014	11
YBR142W	II	528317	530638	+	2322	32
YBR143C	II	530869	532182	-	1314	275
YBR145W	II	533762	534817	+	1056	270
YBR146W	II	535260	536096	+	837	87
YBR147W	II	536575	537465	+	891	22
YBR148W	II	537876	539705	+	1830	5
YBR149W	II	539987	541021	+	1035	363
YBR150C	II	541209	544493	-	3285	34
YBR151W	II	545028	545978	+	951	167
YBR152W	II	546376	547251	+	876	9
YBR153W	II	547460	548194	+	735	37
YBR154C	II	548362	549009	-	648	41
YBR155W	II	549771	550928	+	1158	37
YBR156C	II	551104	553200	-	2097	14
YBR157C	II	553543	554310	-	768	31
YBR158W	II	556549	558198	+	1650	153
YBR159W	II	558685	559728	+	1044	166
YBR160W	II	560078	560974	+	897	58
YBR161W	II	561634	562764	+	1131	32
YBR162C	II	563203	564570	-	1368	797
YBR162W-A	II	565231	565428	+	198	54
YBR163W	II	565723	567480	+	1758	38
YBR164C	II	567875	568426	-	552	76
YBR165W	II	568852	569685	+	834	18
YBR166C	II	569842	571200	-	1359	44
YBR167C	II	571468	571890	-	423	20
YBR168W	II	572371	573612	+	1242	11
YBR169C	II	573915	575996	-	2082	96
YBR170C	II	576344	578086	-	1743	74
YBR171W	II	578364	578984	+	621	57
YBR172C	II	579150	581372	-	2223	68
YBR173C	II	581726	582172	-	447	148
YBR175W	II	582408	583355	+	948	42
YBR176W	II	583720	584658	+	939	13
YBR177C	II	584807	586162	-	1356	119
YBR179C	II	586547	589114	-	2568	39
YBR180W	II	589741	591459	+	1719	1
YBR181C	II;II	591712;592769	592416;592774	-;-	711	363
YBR182C	II	593506	594864	-	1359	7
YBR183W	II	596115	597065	+	951	42
YBR185C	II	599123	599959	-	837	35
YBR186W	II;II	600553;602217	602103;602360	+;+	1695	5
YBR187W	II	602634	603476	+	843	163
YBR188C	II	603685	604107	-	423	25
YBR189W	II;II	604508;604928	604514;605508	+;+	588	1323
YBR191W	II;II	606270;606669	606280;607140	+;+	483	1285
YBR192W	II	607652	608785	+	1134	27
YBR193C	II	609082	609753	-	672	40
YBR194W	II	610038	610409	+	372	8
YBR195C	II	610614	611882	-	1269	22
YBR196C	II	612236	613900	-	1665	2618
YBR198C	II	616127	618523	-	2397	140
YBR199W	II	618909	620303	+	1395	222
YBR200W	II	620872	622527	+	1656	44
YBR201W	II	623576	624211	+	636	31
YBR202W	II	625772	628309	+	2538	88
YBR203W	II	629168	631942	+	2775	73
YBR204C	II	632254	633381	-	1128	37
YBR205W	II	633622	634836	+	1215	139
YBR207W	II	635146	636543	+	1398	104
YBR208C	II	636703	642210	-	5508	94
YBR210W	II	645550	645978	+	429	15
YBR211C	II	646158	647132	-	975	31
YBR212W	II	647886	649904	+	2019	174
YBR213W	II	650368	651192	+	825	10
YBR214W	II	651415	652998	+	1584	329
YBR215W	II;II	653356;653453	653368;655317	+;+	1878	29
YBR216C	II	655576	657600	-	2025	29
YBR217W	II	657832	658392	+	561	11
YBR218C	II	658707	662249	-	3543	498
YBR221C	II	665153	666253	-	1101	380
YBR222C	II	666720	668351	-	1632	199
YBR223C	II	668663	670297	-	1635	40
YBR227C	II	673572	675134	-	1563	50
YBR228W	II	675313	676227	+	915	27
YBR229C	II	676357	679221	-	2865	89
YBR230C	II;II	679549;680040	679942;680050	-;-	405	126
YBR231C	II	682179	683090	-	912	37
YBR233W	II	683428	684669	+	1242	33
YBR233W-A	II	684977	685261	+	285	9
YBR234C	II	685438	686592	-	1155	218
YBR235W	II	686901	690263	+	3363	71
YBR236C	II	690383	691693	-	1311	61
YBR237W	II	691969	694518	+	2550	33
YBR239C	II	698354	699943	-	1590	30
YBR240C	II	700490	701842	-	1353	7
YBR243C	II	705447	706793	-	1347	62
YBR244W	II	707528	708016	+	489	40
YBR245C	II	708150	711539	-	3390	85
YBR246W	II	711591	712754	+	1164	79
YBR247C	II	713004	714455	-	1452	18
YBR248C	II	714807	716465	-	1659	195
YBR249C	II	716882	717994	-	1113	502
YBR250W	II	719033	720604	+	1572	1
YBR251W	II	721390	722313	+	924	45
YBR252W	II	722611	723054	+	444	64
YBR253W	II	723270	723635	+	366	42
YBR254C	II	723736	724263	-	528	27
YBR255W	II	724456	726540	+	2085	55
YBR255C-A	II;II	726618;727012	726917;727074	-;-	363	17
YBR256C	II	727386	728102	-	717	156
YBR257W	II	728885	729724	+	840	14
YBR258C	II	729734	730162	-	429	12
YBR260C	II	732639	734639	-	2001	38
YBR261C	II	734832	735530	-	699	122
YBR263W	II	736264	737736	+	1473	276
YBR264C	II	737770	738369	-	600	49
YBR265W	II	738582	739544	+	963	107
YBR267W	II	739841	741022	+	1182	17
YBR266C	II	739936	740388	-	453	0
YBR268W	II	741299	741616	+	318	72
YBR269C	II	742160	742576	-	417	52
YBR270C	II	742761	744398	-	1638	25
YBR271W	II	744852	746111	+	1260	19
YBR272C	II	746361	747803	-	1443	26
YBR273C	II	748061	749371	-	1311	89
YBR274W	II	749594	751177	+	1584	26
YBR275C	II	751356	757106	-	5751	36
YBR276C	II	757620	760043	-	2424	112
YBR278W	II	760294	760899	+	606	17
YBR279W	II	761257	762594	+	1338	71
YBR280C	II	762784	764697	-	1914	51
YBR281C	II	764970	767606	-	2637	58
YBR282W	II	768240	768680	+	441	30
YBR283C	II	768943	770415	-	1473	310
YBR286W	II	774700	776313	+	1614	1235
YBR287W	II	776571	777854	+	1284	292
YBR288C	II	778012	779463	-	1452	33
YBR289W	II	779667	782384	+	2718	53
YBR290W	II	782591	783556	+	966	92
YBR291C	II	783673	784572	-	900	27
YBR293W	II	787006	788430	+	1425	32
YBR294W	II	789235	791814	+	2580	41
YBR295W	II	792849	796499	+	3651	70
YBR296C	II	796798	798522	-	1725	193
YBR297W	II	800523	801929	+	1407	61
YBR298C	II	802631	804475	-	1845	121
YBR299W	II	805351	807105	+	1755	2
YBR301W	II	809057	809419	+	363	0
YBR302C	II	810340	811479	-	1140	6
YCL073C	III	6479	8326	-	1848	0
YCL069W	III	9706	11082	+	1377	0
YCL067C	III	12386	13018	-	633	0
YCL066W	III	13282	13809	+	528	0
YCL064C	III	15798	16880	-	1083	389
YCL063W	III	17290	18561	+	1272	42
YCL061C	III	18816	22106	-	3291	34
YCL059C	III	22429	23379	-	951	96
YCL058C	III	23523	23981	-	459	0
YCL058W-A	III	23584	23925	+	342	0
YCL057W	III	24768	26906	+	2139	167
YCL056C	III	26925	27359	-	435	16
YCL055W	III	27929	28936	+	1008	20
YCL054W-A	III	30910	30996	+	87	2
YCL054W	III	31449	33974	+	2526	49
YCL052C	III	34143	35393	-	1251	90
YCL051W	III	35865	37616	+	1752	144
YCL050C	III	37836	38801	-	966	233
YCL048W	III	42165	43556	+	1392	4
YCL047C	III	43661	44437	-	777	15
YCL045C	III	44623	46905	-	2283	201
YCL044C	III	47111	48364	-	1254	46
YCL043C	III	48653	50221	-	1569	1263
YCL040W	III	50838	52340	+	1503	3389
YCL039W	III	52645	54882	+	2238	129
YCL038C	III	54941	56527	-	1587	65
YCL037C	III	57374	58678	-	1305	4
YCL036W	III	59026	60726	+	1701	6
YCL035C	III	60841	61173	-	333	127
YCL034W	III	61658	62722	+	1065	205
YCL033C	III	62776	63282	-	507	90
YCL032W	III	63441	64481	+	1041	74
YCL031C	III	64675	65568	-	894	50
YCL030C	III	65934	68333	-	2400	820
YCL029C	III	68599	69921	-	1323	43
YCL028W	III	70150	71367	+	1218	154
YCL027W	III	71803	73341	+	1539	7
YCL026C-B	III	73405	73986	-	582	21
YCL026C-A	III	74704	75285	-	582	4
YCL025C	III	76018	77919	-	1902	406
YCL024W	III	79162	82275	+	3114	21
YCL018W	III	91324	92418	+	1095	0
YCL017C	III	92777	94270	-	1494	128
YCL016C	III	94621	95763	-	1143	25
YCL014W	III	96281	101191	+	4911	22
YCL012C	III;III	101317;101701	101633;101788	-;-	405	22
YCL011C	III	102075	103358	-	1284	276
YCL010C	III	103571	104350	-	780	71
YCL009C	III	104619	105548	-	930	739
YCL008C	III	105696	106853	-	1158	136
YCL007C	III	106974	107366	-	393	0
YCL005W-A	III;III;III	107023;107111;107288	107033;107191;107417	+;+;+	222	27
YCL005W	III	108021	108791	+	771	68
YCL004W	III	109105	110670	+	1566	20
YCL001W	III	111916	112482	+	567	68
YCR002C	III	117380	118348	-	969	73
YCR003W	III	118620	119171	+	552	30
YCR004C	III	119575	120318	-	744	293
YCR005C	III	120946	122328	-	1383	68
YCR008W	III	128470	130281	+	1812	82
YCR009C	III	130745	131542	-	798	140
YCR010C	III	132273	133124	-	852	10
YCR011C	III	133724	136873	-	3150	200
YCR012W	III	137746	138996	+	1251	12481
YCR014C	III	139185	140933	-	1749	19
YCR015C	III	141217	142170	-	954	15
YCR017C	III	144773	147634	-	2862	258
YCR018C	III	148238	148903	-	666	24
YCR019W	III	152837	153928	+	1092	20
YCR020C	III	154012	154659	-	648	6
YCR020C-A	III	154830	155096	-	267	26
YCR020W-B	III	155320	155556	+	237	1
YCR021C	III	156109	157107	-	999	124
YCR024C	III	160744	162222	-	1479	22
YCR024C-A	III	162945	163067	-	123	134
YCR026C	III	164111	166339	-	2229	64
YCR027C	III	167370	167999	-	630	18
YCR028C	III	170886	172424	-	1539	49
YCR028C-A	III;III	172950;173199	173115;173440	-;-	408	114
YCR030C	III	173826	176438	-	2613	133
YCR031C	III;III	177500;178214	177906;178220	-;-	414	1524
YCR032W	III	179520	186023	+	6504	43
YCR033W	III	186489	190169	+	3681	114
YCR035C	III	191834	193018	-	1185	58
YCR036W	III	193297	194298	+	1002	56
YCR037C	III	194414	197185	-	2772	81
YCR038C	III	197621	199549	-	1929	21
YCR039C	III	199546	200178	-	633	0
YCR040W	III	200442	200969	+	528	0
YCR042C	III	201174	205397	-	4224	106
YCR044C	III	206877	207950	-	1074	64
YCR045C	III	208135	209610	-	1476	43
YCR046C	III	209914	210423	-	510	77
YCR047C	III	210718	211545	-	828	44
YCR048W	III	211929	213761	+	1833	194
YCR052W	III	214994	216445	+	1452	150
YCR053W	III	216697	218241	+	1545	396
YCR054C	III	218376	220067	-	1692	19
YCR057C	III	220457	223228	-	2772	54
YCR059C	III	223454	224230	-	777	123
YCR060W	III	224399	224734	+	336	36
YCR061W	III	225563	227458	+	1896	64
YCR063W	III	228318	228791	+	474	7
YCR065W	III	229310	231004	+	1695	24
YCR066W	III	231500	232963	+	1464	17
YCR067C	III	233125	236322	-	3198	104
YCR068W	III	237214	238776	+	1563	58
YCR069W	III	239055	240011	+	957	175
YCR071C	III	240103	240543	-	441	30
YCR072C	III	240805	242352	-	1548	13
YCR073C	III	242588	246583	-	3996	73
YCR073W-A	III	246963	247910	+	948	135
YCR075C	III	248033	248815	-	783	32
YCR075W-A	III	248975	249202	+	228	30
YCR076C	III	249293	250045	-	753	40
YCR077C	III	250238	252628	-	2391	228
YCR079W	III	252845	254173	+	1329	59
YCR081W	III	254371	258654	+	4284	24
YCR082W	III	258883	259269	+	387	60
YCR083W	III	259578	259961	+	384	42
YCR084C	III	260311	262452	-	2142	235
YCR086W	III	263392	263964	+	573	12
YCR088W	III	265068	266846	+	1779	263
YCR089W	III	267434	272263	+	4830	59
YCR091W	III	274404	276566	+	2163	71
YCR092C	III	276764	279820	-	3057	32
YCR093W	III	280117	286443	+	6327	127
YCR094W	III	286762	287937	+	1176	38
YCR095C	III	288170	289258	-	1089	12
YCR096C	III	293179	293538	-	360	0
YCR097W	III;III;III	293835;293994;294292	293939;294239;294321	+;+;+	381	11
YCR098C	III	297049	298605	-	1557	9
YCR104W	III	307801	308175	+	375	4
YCR105W	III	309070	310155	+	1086	14
YCR106W	III	310958	313456	+	2499	8
YCR107W	III	313890	314981	+	1092	10
YDL248W	IV	1802	2953	+	1152	11
YDL247W	IV	5985	7814	+	1830	0
YDL246C	IV	8683	9756	-	1074	0
YDL245C	IV	11657	13360	-	1704	0
YDL244W	IV	16204	17226	+	1023	0
YDL243C	IV	17577	18566	-	990	28
YDL240W	IV	22823	25876	+	3054	24
YDL239C	IV	26403	28775	-	2373	23
YDL238C	IV	28985	30454	-	1470	55
YDL237W	IV	30657	31829	+	1173	72
YDL236W	IV	32296	33234	+	939	198
YDL235C	IV	33415	33918	-	504	26
YDL234C	IV	34237	36477	-	2241	195
YDL233W	IV	36797	38173	+	1377	47
YDL232W	IV	38487	38597	+	111	33
YDL231C	IV	38867	42244	-	3378	68
YDL230W	IV	42700	43707	+	1008	58
YDL229W	IV	44065	45906	+	1842	2155
YDL227C	IV	46271	48031	-	1761	14
YDL226C	IV	51115	52173	-	1059	131
YDL225W	IV	52445	54100	+	1656	60
YDL224C	IV	54397	56346	-	1950	91
YDL223C	IV	57265	60405	-	3141	52
YDL222C	IV	60872	61801	-	930	6
YDL220C	IV	62244	65018	-	2775	24
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	7
YDL217C	IV	67983	68606	-	624	33
YDL216C	IV	68997	70319	-	1323	31
YDL215C	IV	70640	73918	-	3279	103
YDL214C	IV	74446	76545	-	2100	6
YDL213C	IV	77289	77966	-	678	79
YDL212W	IV	78426	79058	+	633	148
YDL210W	IV	84270	85985	+	1716	5
YDL209C	IV	86207	87226	-	1020	8
YDL208W	IV	87512	87982	+	471	203
YDL207W	IV	88248	89864	+	1617	57
YDL205C	IV	92762	93745	-	984	85
YDL204W	IV	94605	95786	+	1182	61
YDL203C	IV	96082	97953	-	1872	30
YDL202W	IV	98475	99224	+	750	44
YDL201W	IV	99561	100421	+	861	37
YDL200C	IV	100501	101067	-	567	10
YDL198C	IV	103649	104551	-	903	140
YDL197C	IV	104917	106494	-	1578	53
YDL195W	IV	107208	111029	+	3822	357
YDL194W	IV	111580	114234	+	2655	61
YDL193W	IV	114672	115799	+	1128	43
YDL192W	IV	116321	116866	+	546	489
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	324
YDL190C	IV	118707	121592	-	2886	111
YDL189W	IV	122216	123589	+	1374	117
YDL188C	IV	123865	124998	-	1134	80
YDL185W	IV	126787	130002	+	3216	755
YDL184C	IV	130407	130484	-	78	250
YDL182W	IV	133437	134723	+	1287	292
YDL181W	IV	135179	135436	+	258	40
YDL179W	IV	138291	139205	+	915	14
YDL178W	IV	139522	141114	+	1593	73
YDL175C	IV	144484	145518	-	1035	38
YDL174C	IV	145826	147589	-	1764	204
YDL173W	IV	148191	149078	+	888	173
YDL171C	IV	149203	155640	-	6438	288
YDL170W	IV	156318	157904	+	1587	51
YDL169C	IV	158064	158735	-	672	25
YDL168W	IV	159604	160764	+	1161	91
YDL167C	IV	160995	163154	-	2160	41
YDL166C	IV	163449	164042	-	594	43
YDL165W	IV	164290	164865	+	576	46
YDL164C	IV	164987	167254	-	2268	44
YDL161W	IV	167714	169078	+	1365	120
YDL160C-A	IV	169366	169608	-	243	21
